Assessment Name,Assessment URL,Remote Testing Support,Adaptive/IRT Support,Test Type,Test Type Keys,Description,Time (Minutes),Job Levels,Languages
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,Yes,No,"Personality & Behavior, C","['P', 'C']","The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for these jobs include, but are not limited to: answer questions or resolve computer problems for clients in person, via telephone, or electronically, provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and
operati",18,"Entry-Level,","Latin American Spanish, German, Chinese Simplified, Finnish, Danish, English (USA), English International, French (Canada), Italian, French, Dutch, Norwegian, Swedish, Arabic,"
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing.",9,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,Yes,No,Behavior,['B'],"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for",,"Director, Executive, Manager,","Italian, English (USA), English International, Korean,"
Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,Yes,No,Behavior,['B'],"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for",,"Director, Executive, Manager,",
Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,Yes,No,Behavior,['B'],"Executive Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in Executives; a group who typically has significant work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for",,"Director, Executive, Manager,",
ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of routing, error handling, security, middleware and performance & reliability in ExpressJS.",7,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,Yes,No,Knowledge & Skills,['K'],This test measures ability to sort names in alphabetical order. Test takers are shown a graphical display of four folder tabs -- three contain alphabetized names and one is blank. The test taker is required to select the name from a list that belongs on the blank tab.,3,"Entry-Level,","English (USA),"
Filing - Numbers,https://www.shl.com/products/product-catalog/view/filing-numbers/,Yes,No,Knowledge & Skills,['K'],"This test measures ability to sort items in numerical order. Test takers are shown a graphical display of four folder tabs -- three contain numbers and one is blank, and all are sorted in numeric order. The test taker is required to select the number from a list that belongs on the blank tab.",3,"Entry-Level,","English (USA),"
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the ability to post journal entries, classify items into assets and liabilities, analyze financial statements and calculate financial ratios.",9,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
Financial and Banking Services (New),https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of investment products, banking products, taxation and principles of Macroeconomics.",9,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management.",10,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,Yes,No,Knowledge & Skills,['K'],This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Candidates are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,8,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English International,"
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,Yes,No,Knowledge & Skills,['K'],This test measures a candidate's ability to follow detailed instructions and then select the correct course of action. Test takers are presented with a set of rules and need to choose the appropriate response for various situations based on the rules given.,8,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English (USA),"
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of meal planning, service preparation, types of service equipment, and types of beverages.",7,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of food chemistry, nutrition, food microbiology, food engineering and food product technology.",6,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the knowledge of front office operations.,7,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of physical chemistry, inorganic chemistry and organic chemistry.",8,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of classical mechanics, Newton's laws of motion, electromagnetism, EM waves, thermodynamics and modern physics.",8,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of common diseases of ear, nose, throat and teeth, their symptoms, drugs used to treat them and various drugs used to relieve pain.",5,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of remote sensing, digital image processing, digital photogrammetry, planning and surveying, geology, GIS and drilling Engineering.",10,"Mid-Professional, Professional Individual Contributor, Supervisor, Entry-Level, Graduate,","English (USA),"
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of exploration geology, soil mechanics, rock mechanics, geophysical investigation, geological surveying.",8,"Mid-Professional, Professional Individual Contributor, Graduate,","English (USA),"
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the knowledge of how to use GIT for version control.,13,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,Yes,No,"C, Knowledge & Skills","['C', 'K']",The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today.,16,,"Indonesian, Italian, Swedish, Thai, Portuguese (Brazil), French (Canada), Chinese Simplified, Danish, Finnish, French, German, English International, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Romanian, Spanish, Vietnamese, Chinese Traditional, Arabic, English (USA), Dutch, Portuguese, Turkish,"
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,Yes,No,Behavior,['B'],"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recru",,"Manager, Mid-Professional, Professional Individual Contributor, Graduate,","English International,"
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,Yes,No,Behavior,['B'],"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recru",,"Mid-Professional, Professional Individual Contributor, Manager, Graduate,",
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,Yes,No,Behavior,['B'],"Graduate Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It is specifically designed to assess judgement in graduates; a group who typically has limited work experience to draw on. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recru",,"Graduate, Manager, Mid-Professional, Professional Individual Contributor,",
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Hibernate architecture, Hibernate mapping and Hibernate query language(HQL).",5,"Mid-Professional, Professional Individual Contributor,","English (USA),"
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,Yes,Yes,Knowledge & Skills,['K'],"The HIPAA (Security) test measures knowledge of compliance with the standards required by the Security and Electronic Signature Standards as they apply to HIPAA. Designed for healthcare professionals and concentrating on nontechnical as well as technical aspects of the HIPAA Standards for Security and Electronic Signatures, this test covers the following topics: Computer Mechanisms, Computer Models, General Knowledge, Implementation, Medical Records, Organization, Security Basics, and Setup.",15,"Front Line Manager, Manager,","English (USA),"
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,"C, Personality & Behavior","['C', 'P']","Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and",,,
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,"C, Personality & Behavior","['C', 'P']","Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identif",,,
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,C,['C'],"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential.",,,
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks.",7,"Entry-Level, Front Line Manager, Supervisor,","English (USA),"
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the knowledge of HTML to create a user interface and CSS to stylize it.,12,"Mid-Professional, Professional Individual Contributor,","English (USA),"
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.,11,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures.",8,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director.",15,"Mid-Professional, Professional Individual Contributor,","English (USA),"
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc.",13,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems.",9,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",10,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",11,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the conceptual knowledge of instrumentation, electronics, signals and communication systems.",12,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,Yes,Yes,Knowledge & Skills,['K'],"This adaptive test measures the candidate's knowledge of how to employ effective verbal and non-verbal communication to send his or her message and manage conflicts. It is designed for all professionals and covers the following topics: Communication and Perception, Group Communication and Teamwork, Intercultural Communication, Interpersonal Communication, Interviewing and Communication, Intrapersonal Communication, Listening, Nonverbal Communication, Technology in Communication, Verbal Communica",15,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),"
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Yes,Yes,Knowledge & Skills,['K'],"The Interviewing and Hiring Concepts (U.S.) test measures knowledge of the interviewing  and hiring process. Designed for all employees and hiring managers, this test covers the following topics: Behavior Traits, Behavioral Interviewing, Candidate Fit, Interview Quality Control, Job Analysis, Legal Compliance, Probing Skills, Screening, Situational Interviews, and Types of Interviews.",15,"Front Line Manager, Manager,","English (USA),"
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Objective C, NSObject, iOS fundamentals and UI design on iOS phones.",7,"Mid-Professional, Professional Individual Contributor,","English (USA),"
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of capacity management, change management and problem management.",8,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Yes,Yes,Knowledge & Skills,['K'],"The Java 2 Platform Enterprise Edition (J2EE) 1.4 Fundamentals test measures knowledge of basic J2EE 1.4 Fundamentals. Designed for entry-level users, this test covers the following topics: Business Component Development, J2EE 1.4 Architecture, JAX 1.2, JDBC 3.0, Supporting API, Web Component Development, and Web Service Development.",30,"Entry-Level, Mid-Professional, Professional Individual Contributor,","English (USA),"
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Java class design, exceptions, generics, collections, concurrency, JDBC and Java I/O fundamentals.",18,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures the knowledge of the types of design patterns in Java and principles like threads and refactoring used in Java design patterns.,5,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of different Java frameworks - Struts, Hibernate and Spring.",17,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Yes,Yes,Knowledge & Skills,['K'],"The Java Platform Enterprise Edition 7 (Java EE 7) test measures knowledge of the Java EE 7 architecture. Designed for Java programmers and architects, this test includes the following topics: Commonly-Used APIs, Component Technology, Database Access, JEE Application Architecture, JSP Extensions, Resource Management, Web Services, Webapp Control and View Technologies, and Webapp Technology.",30,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generics and inner class.",8,"Mid-Professional, Professional Individual Contributor,","English (USA),"
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,9,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Jenkins configuration and deployment, plugins, nodes, build jobs and testing.",6,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of JCL libraries, parameters, statements, datasets, generation of data groups and conditional processing.",10,"Mid-Professional, Professional Individual Contributor,","English (USA),"
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of jQuery events and effects, jQuery animation, UI, references, and using jQuery with AJAX.",10,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of the architecture, cluster and services of Kubernetes.",6,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,Yes,No,Knowledge & Skills,['K'],Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,10,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Linux system, command line, filesystem, memory management, and process management.",15,"Entry-Level, General Population, Graduate, Professional Individual Contributor,","English (USA),"
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,Yes,Yes,Knowledge & Skills,['K'],"The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the following topics: AutoConf/AutoMake, Makefiles, C Programming, C++, Debugging Programs, Linux Programming Concepts, Platform Independence, Revision Control, RPC/CORBA, and X Programming.",25,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge on the concepts of Load Runner architecture & installation, virtual user generator (VUGEN), controller, monitoring scenario and result analysis.",6,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,Yes,No,Behavior,['B'],"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.",,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","Italian, English International, Korean, Arabic,"
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,Yes,No,Behavior,['B'],"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.",,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,Yes,No,Behavior,['B'],"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.",,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,Yes,No,Behavior,['B'],"Managerial Scenarios is a unique test of Managerial Judgement - an individual’s ability to decide on effective ways of handling real life situations. It consists of hypothetical scenarios, each followed by several possible responses. Candidates rate the effectiveness of each response, using a 6-point scale, from highly undesirable to highly desirable. It can be used for recruitment, selection, training and development, performance management and coaching in a variety of functions and industries.",,"Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of the software testing life cycle, testing tools and techniques, design of test cases and generation of test reports.",10,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,Yes,No,"Ability, Personality & Behavior","['A', 'P']","The Manufacturing & Industrial Mechanical & Vigilance Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie successful and safe performance in an 
industrial/manufacturing setting. This solution assesses process monitoring, mechanical 
comprehension and other foundational behaviors including behaving safely in the workplace; 
applying domain-related expertise; offering practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include:",49,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),"
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,No,Personality & Behavior,['P'],"The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie safe performance in a work setting. This solution 
assesses foundational behaviors including behaving safely in the workplace; complying with 
rules and regulations; applying domain-related expertise; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Laborers/Warehouse Workers, Assemblers & Fitters,",16,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,","English (USA), German, Latin American Spanish, French, English International, Chinese Simplified, Italian, Japanese,"
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,Yes,No,Personality & Behavior,['P'],"The Manufacturing & Industrial Essential 8.0 Job-Focused Assessment measures the behaviors 
that underlie successful and safe performance in an industrial/manufacturing setting. This 
solution assesses foundational behaviors including behaving safely in the workplace; applying 
domain-related expertise; offering practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machining and Equipment Operators, 
Laborer/Warehouse, Assemblers and Fitt",16,"Mid-Professional, Professional Individual Contributor, Entry-Level, Graduate, Manager,","English International, French, English (USA), Chinese Simplified, Italian, Japanese, Latin American Spanish, German,"
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,Yes,No,"Ability, Personality & Behavior","['A', 'P']","The Manufacturing & Industrial Mechanical Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solution assesses mechanical comprehension and other foundational behaviors 
including behaving safely in the workplace; applying domain-related expertise; offering 
practical solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators",31,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,","English (USA), English International, Italian, Japanese, Latin American Spanish, Chinese Simplified,"
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,Yes,No,"Ability, Personality & Behavior","['A', 'P']","The Manufacturing and Industrial Vigilance Focus 8.0 Job-Focused Assessment measures the 
behaviors that underlie successful and safe performance in an industrial/manufacturing 
setting. This solution assesses process monitoring and other foundational behaviors including 
behaving safely in the workplace; applying domain-related expertise; offering practical 
solutions; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
A",34,"Entry-Level, Mid-Professional, Professional Individual Contributor, Graduate, Manager,","English (USA),"
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the conceptual knowledge of marketing principles, market research, consumer behavior, brand management, sales management, channel management and advertisement management.",9,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),"
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of Maven installation, dependencies, Project Object Model (POM), builds and plugins.",7,"Mid-Professional, Professional Individual Contributor,","English (USA),"
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the conceptual knowledge of fluid and machine mechanics, thermodynamics, IC engines and manufacturing science.",7,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge related to basic mechatronics systems, components, sensors, feedback devices, control elements, actuators, computational elements and application of mechatronic systems.",19,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,Yes,No,Knowledge & Skills,['K'],"Multi-choice test that measures the knowledge of different medical terms and abbreviations related to the human body, diseases and diagnosis.",3,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),"
